ID,Name,Age,Marks,Grade
75,John,22,61.34,A
76,Tom,22,52.37,B
77,Nina,25,79.22,B
78,Sara,19,56.11,C
79,David,21,81.83,C
80,Mike,22,50.06,B
81,David,22,88.57,A
82,Alice,22,88.16,D
83,Rachel,23,95.34,F
84,Emma,19,96.25,F
85,James,20,61.11,A
86,James,19,89.65,C
87,Emma,19,57.4,A
88,Rachel,19,94.27,A
89,David,19,80.74,F
90,Tom,25,80.12,D
91,Alice,21,92.77,D
92,Alice,18,75.52,A
93,John,20,92.17,F
94,Nina,22,98.37,C
95,Alice,19,70.73,F
96,Mike,21,68.54,D
97,James,25,94.42,D
98,Rachel,21,92.15,B
99,John,20,63.35,C
100,Tom,22,66.1,F
101,David,24,59.33,A
102,Emma,20,92.11,D
103,Rachel,22,86.95,D
104,Tom,18,63.14,F
105,Tom,24,55.52,F
106,Alice,23,75.61,C
107,Alice,19,59.15,C
108,David,22,93.17,D
109,James,23,98.11,C
110,Sara,18,53.11,C
111,Sara,24,95.61,F
112,Alice,23,57.01,D
113,James,25,53.42,C
114,Mike,21,87.06,A
115,Alice,19,73.17,F
116,Sara,20,67.64,F
117,Mike,18,90.72,A
118,Mike,25,74.72,D
119,Mike,25,53.24,F
120,John,19,73.09,C
121,Nina,25,87.08,B
122,Mike,20,85.38,B
123,Emma,21,99.91,A
124,James,23,51.1,D
125,James,20,63.86,C
126,Tom,20,82.66,F
127,Rachel,23,92.67,A
128,Rachel,19,55.64,B
129,Rachel,23,58.64,F
130,Tom,20,96.96,A
131,David,22,64.26,B
132,Sara,21,79.99,F
133,Mike,19,55.81,F
134,John,20,73.86,C
135,John,20,82.09,A
136,Nina,25,57.57,A
137,Tom,22,73.4,D
138,David,23,94.39,B
139,David,22,78.05,A
140,Emma,23,57.86,C
141,Mike,25,63.83,C
142,Emma,23,81.73,C
143,Emma,24,73.43,A
144,Rachel,24,90.66,F
145,Nina,19,95.36,F
146,Emma,25,91.39,F
147,Tom,21,60.24,A
148,Tom,19,72.53,F
149,Sara,21,64.79,D
150,Tom,25,61.6,D
151,Rachel,25,96.56,C
152,Alice,18,66.61,B
153,Nina,25,69.04,B
154,Emma,24,62.95,C
155,Emma,18,84.28,C
156,Rachel,19,94.24,F
157,John,23,86.66,F
158,James,25,50.28,A
159,Tom,20,89.92,F
160,John,25,56.69,B
161,James,24,80.29,D
162,James,19,96.43,F
163,Tom,21,80.59,A
164,Emma,18,51.04,F
165,Mike,25,54.33,F
166,Alice,21,60.7,F
167,John,24,64.84,D
168,John,24,74.05,C
169,Nina,20,61.9,F
170,Sara,22,82.91,C
171,Sara,24,67.92,A
172,Mike,21,87.65,C
173,Sara,20,70.56,F
174,Nina,21,76.29,A
175,Emma,18,52.75,D
176,Alice,20,99.63,B
177,David,23,66.11,D
178,John,23,65.35,B
179,Emma,25,95.18,A
180,Alice,22,86.23,D
181,James,22,63.33,F
182,Mike,19,63.39,D
183,Rachel,18,86.71,D
184,Alice,23,91.14,C
185,Mike,18,59.26,B
186,Sara,25,52.2,B
187,Sara,20,53.2,A
188,Sara,23,66.97,B
189,Mike,24,59.23,A
190,Rachel,24,65.62,B
191,David,18,55.1,B
192,James,23,63.71,D
193,John,18,98.02,F
194,Nina,22,77.28,A
195,Emma,19,73.9,A
196,James,18,94.2,F
197,John,19,66.0,B
198,James,21,77.23,A
199,James,22,65.94,C
200,James,21,72.42,F
201,Alice,19,69.39,C
202,Sara,23,91.35,F
203,Mike,23,98.84,F
204,David,24,93.42,C
205,Nina,20,84.93,A
206,James,22,92.46,F
207,Rachel,20,59.27,C
208,Alice,22,54.57,C
209,Tom,24,88.91,C
210,Mike,19,62.26,C
211,Nina,21,92.18,A
212,James,21,61.83,C
213,Nina,19,65.33,D
214,Rachel,25,85.19,C
215,Emma,21,69.86,D
216,Rachel,24,99.59,A
217,John,18,69.32,B
218,Emma,22,95.2,F
219,David,24,55.91,A
220,Tom,24,55.97,A
221,Tom,24,97.21,B
222,Alice,21,81.67,F
223,Tom,21,73.45,B
224,Sara,25,52.79,D
225,Rachel,19,66.8,D
226,James,19,91.74,B
227,David,20,75.27,A
228,Tom,18,94.63,A
229,James,20,70.07,C
230,Tom,23,68.05,F
231,Alice,19,98.57,F
232,John,21,60.45,B
233,David,20,90.55,C
234,Mike,19,91.42,A
235,John,24,66.23,D
236,Alice,21,67.86,D
237,David,23,85.63,D
238,David,25,77.17,F
239,Sara,24,93.5,D
240,Mike,22,55.84,D
241,Emma,25,53.56,B
242,Rachel,25,67.1,F
243,Alice,25,90.86,B
244,Sara,20,90.93,A
245,David,24,51.65,D
246,Nina,18,95.72,C
247,Rachel,25,52.9,B
248,Alice,20,68.29,C
249,Sara,24,82.95,C
250,Emma,24,58.2,B
251,David,19,58.92,B
252,John,25,86.62,A
253,Sara,25,66.24,B
254,David,19,56.67,C
255,Emma,18,86.21,A
256,Mike,25,64.32,F
257,David,21,99.63,D
258,Sara,23,97.81,D
259,James,24,61.96,F
260,Tom,24,80.95,D
261,Emma,18,84.99,D
262,Sara,23,77.33,D
263,Mike,19,99.95,F
264,David,22,67.01,D
265,David,22,90.31,C
266,David,24,98.35,A
267,Sara,20,83.23,C
268,James,21,68.18,D
269,Sara,19,87.96,B
270,Sara,24,56.9,F
271,David,22,52.53,C
272,Emma,23,76.65,D
273,James,23,72.86,F
274,Alice,25,85.18,F
275,Tom,18,85.76,B
276,John,18,87.0,F
277,John,19,58.61,F
278,Rachel,22,68.9,C
279,James,19,60.57,B
280,Tom,18,71.67,C
281,Mike,21,65.11,C
282,John,20,74.2,F
283,Nina,22,63.8,C
284,Mike,25,96.34,C
285,Alice,18,82.11,A
286,James,19,68.92,B
287,Tom,24,81.12,F
288,Tom,23,68.48,C
289,James,20,94.51,C
290,John,21,78.34,B
291,James,23,67.44,C
292,Tom,23,83.61,F
293,James,25,88.46,D
294,Tom,23,96.97,F
295,Rachel,24,85.12,D
296,David,22,76.91,A
297,Tom,19,66.37,F
298,John,22,59.25,D
299,Emma,23,62.11,D
300,Mike,24,85.27,D
301,James,24,87.42,A
302,Mike,23,62.03,A
303,James,23,73.93,F
304,Alice,19,69.3,A
305,Alice,20,61.39,B
306,Mike,19,64.84,D
307,Emma,23,50.7,A
308,David,25,77.93,A
309,John,22,97.12,B
310,Nina,20,52.37,C
311,James,21,51.43,A
312,James,19,84.43,C
313,Mike,21,91.37,C
314,Rachel,20,80.24,F
315,Rachel,25,76.4,C
316,Mike,22,93.43,B
317,Alice,25,87.76,D
318,Rachel,25,79.93,F
319,Sara,20,58.53,F
320,Mike,23,51.1,C
321,Mike,24,77.47,F
322,John,23,66.83,C
323,James,23,66.61,A
324,James,23,92.37,D
325,David,18,84.05,A
326,Alice,19,62.47,A
327,Nina,23,60.8,C
328,James,24,95.72,B
329,Emma,22,72.32,F
330,John,19,91.93,B
331,Emma,21,86.37,A
332,Nina,24,84.39,A
333,Alice,22,71.27,A
334,John,25,57.01,F
335,John,20,68.14,C
336,Sara,25,56.82,F
337,Emma,22,93.54,B
338,Sara,19,60.14,C
339,Sara,24,78.33,D
340,Nina,19,76.15,B
341,Tom,23,53.26,F
342,Tom,18,53.99,C
343,Rachel,19,82.74,B
344,Emma,23,52.63,B
345,Mike,18,55.02,B
346,Sara,19,90.35,B
347,Nina,24,66.32,C
348,Sara,18,85.55,C
349,Sara,25,81.99,C
350,David,18,77.08,D
351,Sara,22,83.92,C
352,James,25,95.62,B
353,Nina,19,76.71,C
354,Tom,23,77.88,A
355,Sara,22,60.49,A
356,Rachel,18,55.63,F
357,Mike,18,77.01,D
358,Alice,24,81.6,A
359,Mike,20,91.67,B
360,John,18,53.32,A
361,Alice,20,85.94,F
362,Sara,21,88.63,C
363,Alice,20,65.9,D
364,Mike,21,67.61,B
365,David,24,67.67,F
366,Mike,25,68.67,B
367,Tom,21,97.86,D
368,Rachel,21,96.42,F
369,Sara,19,52.33,D
370,David,19,58.34,D
371,David,24,94.74,F
372,Rachel,19,77.76,C
373,Emma,24,97.99,D
374,Emma,19,78.47,C
375,David,19,60.53,B
376,David,19,69.7,C
377,Rachel,22,80.81,D
378,James,18,79.35,F
379,James,20,68.01,A
380,Tom,21,91.81,F
381,Sara,25,95.26,C
382,John,21,74.69,C
383,Rachel,20,93.12,C
384,Mike,19,50.07,D
385,Alice,22,76.8,A
386,Mike,21,79.49,D
387,David,20,65.08,D
388,Nina,23,58.42,D
389,James,22,59.16,F
390,Alice,22,87.54,D
391,David,19,82.81,B
392,James,20,89.56,B
393,Rachel,18,74.67,D
394,Emma,21,77.55,A
395,Nina,22,75.26,F
396,John,20,86.5,A
397,Nina,22,70.87,B
398,David,25,94.95,A
399,Alice,25,53.2,B
400,Sara,19,66.59,D
401,David,21,82.66,B
402,Nina,18,88.69,D
403,Sara,21,72.15,F
404,Tom,22,51.25,F
405,Nina,24,91.92,A
406,Alice,23,58.73,D
407,Sara,20,67.44,D
408,Sara,20,96.29,D
409,John,19,94.66,C
410,Tom,22,55.04,F
411,James,22,96.65,F
412,James,18,67.57,A
413,Alice,21,73.69,B
414,John,24,65.19,C
415,Emma,18,86.57,B
416,John,18,97.22,F
417,James,25,93.62,A
418,Sara,24,81.42,B
419,Sara,25,72.61,B
420,John,19,63.58,D
421,Alice,20,92.31,B
422,Emma,21,71.32,F
423,Mike,23,69.73,C
424,David,21,95.98,F
425,Sara,25,66.12,C
426,Nina,21,90.93,F
427,Alice,21,96.48,A
428,Tom,20,84.76,D
429,Alice,19,83.55,D
430,David,22,66.49,B
431,Tom,19,84.03,F
432,Sara,20,90.57,B
433,Alice,19,60.55,C
434,James,22,90.78,A
435,David,20,56.64,C
436,Nina,19,50.44,F
437,James,23,91.58,B
438,Alice,19,66.67,B
439,Alice,24,52.65,A
440,Mike,23,81.47,D
441,John,22,82.91,C
442,Alice,22,52.33,B
443,Sara,18,72.46,B
444,Emma,23,96.84,B
445,James,24,97.17,D
446,James,20,63.76,A
447,Tom,18,78.48,C
448,Tom,22,68.25,C
449,John,22,95.64,D
450,Mike,20,99.82,F
451,John,24,75.41,A
452,Nina,20,71.47,B
453,Mike,20,90.12,B
454,John,24,85.35,D
455,Rachel,19,96.15,F
456,Tom,23,81.49,A
457,John,19,78.54,B
458,David,22,57.56,A
459,Nina,25,69.36,B
460,Nina,25,64.28,D
461,Alice,22,79.86,F
462,Nina,23,64.24,D
463,Mike,25,63.67,B
464,Rachel,20,51.2,C
465,Mike,19,99.47,F
466,John,18,72.05,C
467,Mike,19,89.44,B
468,James,19,85.25,D
469,Mike,22,61.92,B
470,David,18,74.08,C
471,Emma,24,79.36,D
472,David,20,87.01,F
473,Sara,21,59.17,A
474,Tom,21,64.53,A
475,David,20,61.92,B
476,Sara,21,95.96,C
477,Rachel,24,61.69,B
478,Tom,23,55.24,C
479,Rachel,20,61.09,D
480,Alice,18,95.5,A
481,Emma,18,51.75,F
482,Emma,21,81.38,F
483,John,22,56.01,B
484,Alice,24,65.16,A
485,David,20,68.06,B
486,Tom,18,72.51,C
487,James,25,97.53,B
488,David,23,63.07,D
489,Rachel,18,84.34,D
490,Mike,18,61.23,A
491,Emma,18,85.34,A
492,David,18,54.17,B
493,Sara,18,97.47,D
494,Emma,22,67.05,A
495,Alice,22,60.29,B
496,David,23,96.86,A
497,Nina,22,54.5,D
498,John,18,53.49,C
499,Emma,21,87.41,B
500,Sara,18,64.52,F
501,Rachel,20,83.12,D
502,John,18,92.34,D
503,James,19,60.36,B
504,David,23,96.66,F
505,Nina,18,52.91,B
506,Tom,22,61.95,A
507,David,21,94.22,C
508,Mike,19,51.37,F
509,David,22,78.11,B
510,Nina,19,60.4,C
511,John,25,92.42,C
512,John,25,72.85,F
513,Emma,18,67.74,B
514,James,21,96.49,F
515,Rachel,25,83.32,B
516,David,22,80.03,D
517,Alice,23,76.26,F
518,Emma,23,58.18,A
519,Mike,23,68.37,C
520,David,18,89.61,A
521,Nina,25,53.56,D
522,Tom,22,77.16,C
523,Tom,20,73.09,F
524,Rachel,24,96.24,D
525,John,25,76.02,F
526,Rachel,24,65.58,B
527,Emma,20,81.2,B
528,Alice,24,54.16,C
529,Alice,25,56.19,D
530,Tom,23,84.59,C
531,Nina,19,74.63,F
532,James,23,66.21,D
533,John,18,93.05,D
534,Alice,23,93.28,B
535,Nina,25,74.04,B
536,David,18,63.69,F
537,David,20,58.02,C
538,Rachel,22,95.96,F
539,Mike,19,97.01,C
540,James,21,95.47,A
541,James,20,84.03,C
542,Sara,24,97.54,A
543,Mike,19,71.91,F
544,David,19,50.18,C
545,Nina,19,50.1,F
546,Emma,23,64.05,C
547,Sara,22,92.69,C
548,David,24,60.22,B
549,Rachel,22,68.42,D
550,David,25,86.05,D
551,Alice,22,74.67,C
552,David,19,74.12,A
553,Emma,23,63.51,C
554,Nina,21,75.34,F
555,Nina,18,61.62,F
556,John,25,83.37,C
557,James,24,67.57,B
558,Nina,19,76.49,C
559,Alice,22,75.65,A
560,Sara,23,85.64,D
561,Sara,24,79.09,C
562,Alice,20,76.73,F
563,Sara,25,50.91,F
564,Sara,24,83.78,F
565,James,20,94.83,D
566,Mike,25,60.09,B
567,Tom,19,82.08,D
568,Emma,21,83.74,A
569,Emma,19,67.96,A
570,Emma,25,87.04,A
571,John,21,64.28,D
572,David,19,53.15,A
573,John,24,54.67,F
574,Sara,20,50.26,D
575,Emma,18,80.77,A
576,John,22,98.45,D
577,Sara,18,57.31,C
578,Sara,20,93.62,C
579,Tom,22,84.17,D
580,Rachel,19,70.1,A
581,David,21,53.42,F
582,Emma,23,67.28,D
583,John,22,62.02,F
584,John,20,62.88,D
585,David,20,92.27,C
586,Mike,21,75.61,C
587,Nina,25,65.6,D
588,Emma,23,70.59,A
589,Mike,20,59.57,B
590,Sara,22,92.25,C
591,Tom,23,79.16,F
592,Alice,19,61.82,B
593,Nina,21,73.69,D
594,Emma,23,70.31,C
595,Alice,22,54.51,A
596,David,18,63.46,C
597,James,18,52.06,C
598,Nina,19,91.43,B
599,Alice,20,87.21,D
600,Sara,22,65.01,C
601,Tom,23,53.05,B
602,Nina,19,73.49,B
603,Sara,20,96.62,B
604,Nina,24,86.51,B
605,Mike,22,55.61,F
606,Mike,23,66.76,D
607,Mike,18,95.96,B
608,Emma,23,55.27,F
609,Alice,23,73.76,A
610,Mike,23,87.82,B
611,Sara,20,60.59,A
612,David,23,92.93,C
613,Alice,23,84.85,A
614,Tom,21,78.0,C
615,Sara,24,93.08,A
616,John,24,75.07,A
617,John,20,66.37,C
618,Nina,20,76.51,F
619,Nina,24,64.42,A
620,Mike,18,52.09,F
621,John,20,78.74,D
622,Mike,20,78.6,D
623,James,22,70.08,A
624,Rachel,24,87.63,A
625,Tom,20,65.47,F
626,Mike,20,58.88,D
627,David,22,79.84,A
628,Sara,19,53.05,C
629,Rachel,18,57.79,B
630,Nina,21,72.03,F
631,John,23,90.96,C
632,James,19,72.09,C
633,David,24,93.17,D
634,Emma,24,70.78,F
635,Tom,18,89.07,D
636,James,21,93.69,B
637,Alice,23,57.26,A
638,John,24,58.02,A
639,David,19,90.33,B
640,David,20,82.42,D
641,Mike,20,52.17,C
642,James,20,93.53,C
643,Tom,19,92.86,B
644,Sara,20,66.48,C
645,Rachel,25,74.45,F
646,Alice,24,91.5,F
647,Sara,21,93.27,C
648,Nina,25,74.21,C
649,David,24,95.9,F
650,Nina,25,79.52,F
651,Tom,19,62.18,F
652,Mike,20,51.23,B
653,James,18,88.59,D
654,Rachel,25,83.95,F
655,John,19,83.48,B
656,Tom,19,72.21,B
657,Tom,20,87.18,D
658,David,22,91.39,A
659,Mike,18,62.25,A
660,Rachel,18,99.78,B
661,Emma,19,74.97,C
662,Rachel,24,58.13,A
663,Mike,25,70.05,A
664,Nina,20,53.24,A
665,Emma,22,72.8,A
666,James,25,88.68,D
667,Rachel,18,81.31,A
668,James,25,78.96,A
669,Sara,24,55.29,D
670,Tom,22,75.98,A
671,Rachel,19,56.65,A
672,Tom,22,93.44,B
673,John,19,86.73,D
674,Tom,21,63.86,B
675,David,21,67.24,B
676,Rachel,19,73.49,C
677,Alice,23,64.47,D
678,Mike,24,68.9,D
679,David,18,97.68,B
680,Tom,25,83.01,A
681,Tom,25,82.89,F
682,Nina,24,55.68,F
683,Mike,22,63.12,B
684,Mike,24,68.3,C
685,James,21,88.74,C
686,Alice,24,86.93,C
687,Alice,22,78.1,F
688,Mike,22,59.1,F
689,Rachel,20,72.84,F
690,James,19,80.84,F
691,Rachel,21,74.62,B
692,Alice,22,88.68,D
693,Nina,22,97.81,C
694,Sara,22,62.7,D
695,Tom,22,72.32,F
696,Nina,20,50.19,C
697,Rachel,25,50.39,D
698,Mike,25,79.59,D
699,Mike,20,65.28,C
700,Mike,19,68.25,B
701,Sara,24,76.53,F
702,Tom,20,71.63,B
703,Emma,19,97.67,A
704,Nina,18,67.22,C
705,David,20,79.54,B
706,Mike,25,67.51,B
707,Mike,22,62.28,F
708,John,24,96.24,A
709,Mike,18,75.5,A
710,Mike,22,62.71,D
711,Tom,20,72.98,C
712,Alice,19,62.65,F
713,Alice,20,65.43,F
714,Nina,19,56.06,B
715,Mike,18,79.27,A
716,Nina,21,85.86,C
717,Rachel,19,67.05,D
718,John,23,95.07,B
719,Emma,22,86.81,C
720,David,21,95.79,C
721,Tom,18,57.58,B
722,Rachel,24,65.95,B
723,Alice,18,62.13,B
724,Mike,18,75.66,B
725,James,25,64.92,B
726,Mike,22,64.89,C
727,Mike,23,94.05,D
728,David,18,84.07,D
729,Rachel,23,73.58,A
730,Rachel,25,78.93,A
731,James,19,54.14,B
732,Rachel,25,68.44,D
733,Rachel,23,70.5,D
734,Alice,18,57.94,F
735,Alice,23,78.29,D
736,Emma,24,98.31,A
737,Nina,24,80.38,F
738,Nina,21,74.42,C
739,Mike,22,99.76,C
740,Sara,22,98.06,A
741,John,18,79.95,A
742,James,20,79.8,A
743,Mike,24,89.61,B
744,David,20,61.55,C
745,Tom,19,87.86,A
746,David,21,76.73,A
747,Emma,19,50.44,B
748,Rachel,20,70.84,B
749,Rachel,23,98.89,F
750,Rachel,18,90.84,A
751,Rachel,21,88.0,A
752,Sara,25,95.27,F
753,Alice,23,82.14,A
754,Rachel,25,73.07,B
755,Rachel,22,71.76,A
756,James,24,85.17,D
757,David,22,79.85,B
758,Tom,21,79.71,A
759,Sara,25,96.38,A
760,Rachel,18,89.58,C
761,John,20,51.73,D
762,Tom,25,73.04,A
763,Sara,19,73.09,B
764,John,21,55.83,D
765,Tom,24,63.57,D
766,Sara,24,93.43,A
767,Rachel,20,68.07,C
768,Tom,24,66.01,D
769,Alice,18,81.65,D
770,Tom,20,71.25,A
771,John,19,65.06,B
772,Emma,24,71.09,A
773,Mike,25,78.38,A
774,Alice,22,90.48,F
775,Emma,21,78.74,A
776,Nina,20,81.0,C
777,Alice,22,82.84,F
778,Emma,21,86.15,A
779,David,18,51.73,D
780,Alice,20,58.09,D
781,John,18,67.61,C
782,Sara,22,87.03,D
783,Alice,21,66.55,F
784,Sara,18,95.65,B
785,Mike,20,93.44,F
786,David,19,77.87,B
787,Alice,24,86.63,F
788,Rachel,21,95.36,F
789,Mike,22,59.47,C
790,John,20,74.21,D
791,Sara,23,51.14,C
792,David,25,89.29,F
793,Sara,22,67.29,B
794,James,24,70.52,B
795,Alice,22,76.85,D
796,Emma,24,71.53,C
797,David,20,57.89,C
798,Sara,23,54.95,F
799,Sara,18,92.99,D
800,Emma,24,83.99,B
801,Emma,23,59.53,A
802,Sara,20,71.7,A
803,Alice,23,97.3,B
804,Alice,25,74.17,F
805,James,25,84.87,F
806,David,23,87.97,C
807,Tom,25,52.76,D
808,Alice,19,54.63,F
809,Sara,23,50.74,A
810,Mike,23,73.05,D
811,Rachel,22,92.3,D
812,Rachel,21,79.75,C
813,Rachel,21,97.06,D
814,Mike,23,56.22,F
815,John,20,96.62,B
816,Mike,21,55.57,D
817,Tom,19,57.6,A
818,Rachel,20,64.52,C
819,David,18,67.34,B
820,John,23,59.81,A
821,David,25,90.8,C
822,Rachel,21,69.58,C
823,David,23,67.08,F
824,Mike,24,61.62,D
825,Mike,22,52.05,A
826,Alice,18,90.76,B
827,Mike,25,58.91,C
828,Rachel,19,57.92,F
829,Rachel,18,78.59,C
830,James,21,68.09,B
831,Tom,25,92.53,C
832,Rachel,18,70.51,C
833,Alice,21,82.32,C
834,Alice,24,92.43,D
835,James,24,59.88,F
836,Sara,21,58.54,F
837,Emma,19,59.56,D
838,Alice,25,80.46,A
839,Alice,18,96.9,F
840,Nina,24,79.84,D
841,Tom,21,81.0,A
842,Alice,24,77.87,A
843,Alice,25,76.36,C
844,David,22,92.36,F
845,John,19,57.42,D
846,Nina,25,72.54,D
847,Rachel,22,79.53,C
848,Nina,24,94.16,C
849,David,25,80.47,F
850,Rachel,20,97.54,A
851,James,22,74.03,F
852,Emma,25,76.01,B
853,Mike,22,68.66,A
854,James,22,83.09,B
855,Nina,21,84.39,F
856,Mike,24,73.01,C
857,Tom,21,55.2,C
858,Sara,18,55.83,C
859,John,23,56.1,B
860,David,22,61.01,D
861,Sara,24,76.92,A
862,James,23,80.87,F
863,Mike,21,50.0,C
864,Rachel,22,91.3,D
865,Emma,24,92.21,C
866,Emma,19,52.17,C
867,Emma,20,97.5,B
868,James,18,97.28,D
869,James,19,65.43,A
870,Nina,22,92.15,A
871,Rachel,25,93.41,C
872,Emma,23,56.31,D
873,Rachel,19,51.43,D
874,Sara,22,96.85,A
875,Emma,24,67.06,C
876,James,25,50.13,F
877,Rachel,19,50.5,C
878,Sara,25,87.07,F
879,Emma,20,57.93,F
880,Emma,25,88.64,C
881,Mike,18,57.86,A
882,Emma,20,55.37,D
883,Mike,20,60.99,A
884,Nina,19,52.03,A
885,Tom,21,69.78,C
886,John,20,83.39,D
887,Nina,21,75.33,A
888,Emma,23,69.66,C
889,Emma,21,62.89,F
890,Mike,18,66.18,F
891,Alice,18,83.82,B
892,Emma,19,52.34,C
893,Alice,18,76.36,A
894,Tom,19,86.22,B
895,David,19,85.91,C
896,Alice,19,83.38,A
897,John,25,83.9,B
898,Nina,22,72.64,C
899,Sara,20,89.15,F
900,David,22,61.69,A
901,Mike,24,51.61,B
902,Emma,20,67.87,B
903,David,22,51.19,C
904,Emma,22,82.99,D
905,Emma,19,78.57,F
906,James,23,74.52,F
907,Sara,19,87.59,C
908,James,21,74.7,F
909,David,20,85.12,C
910,Sara,20,79.66,D
911,Alice,19,92.44,F
912,Alice,25,85.21,D
913,Emma,25,80.17,F
914,Nina,22,50.9,B
915,Emma,22,72.06,C
916,John,23,93.83,B
917,Alice,22,60.18,D
918,Sara,21,66.26,C
919,John,22,84.99,C
920,Alice,24,82.68,F
921,Sara,24,51.91,B
922,Rachel,18,51.32,B
923,Tom,24,71.24,A
924,Nina,23,53.39,D
925,Nina,21,89.63,C
926,James,24,79.23,B
927,Nina,24,74.01,C
928,John,19,84.92,A
929,David,19,59.77,F
930,Rachel,18,73.94,F
931,Rachel,18,73.5,A
932,John,21,59.92,B
933,Nina,18,61.75,B
934,David,21,86.11,A
935,John,18,70.94,B
936,Alice,24,71.39,A
937,Nina,18,60.79,D
938,Nina,19,62.26,F
939,John,18,97.9,F
940,Emma,24,83.48,D
941,John,22,85.63,C
942,David,21,94.92,F
943,Sara,18,90.6,D
944,Sara,18,93.04,F
945,Tom,18,50.08,C
946,Tom,18,60.28,C
947,Sara,25,94.99,A
948,Tom,23,77.3,F
949,Emma,23,86.78,A
950,Rachel,24,74.45,D
951,Rachel,23,68.16,D
952,Sara,22,92.36,F
953,Emma,22,77.82,D
954,Sara,23,86.94,D
955,Tom,24,99.15,D
956,John,24,79.62,B
957,Nina,23,75.08,D
958,Nina,20,89.58,F
959,John,19,61.87,A
960,Rachel,21,76.59,A
961,Mike,25,80.73,B
962,Sara,24,91.91,F
963,Rachel,20,68.0,C
964,Emma,19,97.99,C
965,Alice,22,83.24,A
966,Nina,20,96.88,A
967,Mike,25,98.65,C
968,John,25,67.62,B
969,Alice,23,78.9,B
970,John,23,54.64,C
971,Sara,24,81.94,D
972,Rachel,21,93.23,A
973,Emma,25,89.65,F
974,Alice,23,71.59,D
975,Alice,22,53.11,C
976,David,21,59.58,F
977,Rachel,20,56.71,C
978,Rachel,18,82.65,F
979,John,20,71.99,D
980,David,22,58.19,A
981,John,19,97.55,B
982,Nina,22,56.48,F
983,Nina,22,56.52,A
984,James,25,93.94,D
985,James,25,92.43,D
986,Rachel,25,83.75,A
987,Sara,21,53.6,B
988,Emma,25,66.78,B
989,John,19,94.11,F
990,Rachel,24,77.88,F
991,Mike,23,65.92,B
992,Alice,19,63.68,B
993,Sara,18,55.99,A
994,Nina,25,67.35,A
995,Nina,18,91.15,C
996,Nina,23,97.88,A
997,Nina,22,78.74,B
998,John,24,72.46,A
999,Tom,25,83.61,F
1000,Nina,21,89.81,F
1001,Tom,24,57.14,D
1002,Nina,25,58.59,C
1003,Rachel,24,80.36,A
1004,James,20,86.92,B
1005,Rachel,21,86.3,F
1006,Tom,23,95.14,A
1007,Mike,18,89.97,B
1008,John,24,82.43,F
1009,Emma,23,74.19,B
1010,James,20,50.92,F
1011,David,25,64.98,A
1012,Nina,20,61.13,F
1013,Alice,23,79.95,F
1014,Mike,18,63.1,D
1015,Tom,24,90.98,A
1016,John,19,64.54,C
1017,Nina,24,60.26,C
1018,Alice,22,98.32,C
1019,Rachel,23,99.34,C
1020,Emma,20,62.6,D
1021,Rachel,19,94.59,A
1022,Nina,25,69.03,D
1023,Mike,23,89.15,F
1024,Tom,21,67.06,C
1025,Sara,24,94.3,A
1026,David,20,54.53,A
1027,James,23,68.79,D
1028,James,20,63.8,D
1029,Emma,23,66.77,F
1030,Nina,25,94.75,F
